fiscal_year,regime,country,section,rows,qty_imp,val_imp,qty_efc,val_efc,duty
1873,A,Lbs,DUTIABLE,5,121234,18922,52722,76129,4951.68
1873,A,Malaga,FREE,1,0,0,4,160,0.0
1873,A,Newfoundland,DUTIABLE,1,31,68,20,10,0.0
1873,A,Norway,DUTIABLE,2,224,12,224,12,3.74
1873,A,Number,DUTIABLE,2,445,1625,432,17771,2907.74
1873,A,P. E. Island,DUTIABLE,4,1721,1447,1721,1447,1388.15
1873,A,P. E. Island,FREE,12,375437,260817,375440,261824,0.0
1873,A,P. E. Island..... Jersey,DUTIABLE,1,0,85,0,85,12.75
1873,A,Pkg,DUTIABLE,3,61,1075,0,1075,161.25
1873,A,Pkgs,DUTIABLE,19,19732,218235,19383,403513,61945.89
1873,A,Portugal,DUTIABLE,11,10194,17881,16457,24102,5962.95
1873,A,Portugal,FREE,4,1042,8111,2812,16413,0.0
1873,A,R. N. A. Provinces,DUTIABLE,1,0,0,0,1124,168.6
1873,A,Russia,DUTIABLE,2,5,2937,5,3012,146.85
1873,A,Russia,FREE,1,773,782,773,773,0.0
1873,A,Spain,DUTIABLE,16,78621,286523,95763,303573,102909.41
1873,A,Spain,FREE,3,372,1263,4042,5035,0.0
1873,A,Spanish West Indies,DUTIABLE,17,17516041,906540,8626482,457831,193671.71
1873,A,Spanish West Indies,FREE,7,51445,140659,47201,127364,14599.8
1873,A,St. Pierre,DUTIABLE,7,66850,68637,48815,49720,17511.71
1873,A,St. Pierre,FREE,8,2908,2178,2594,2027,16.8
1873,A,Switzerland,DUTIABLE,8,27669,128537,4145,232149,19632.09
1873,A,Switzerland,FREE,1,0,14067,0,14067,0.0
1873,A,T kgs,DUTIABLE,1,840,2148,820,2245,336.65
1873,A,United Kingdom,FREE,98,351081,597632,434503,547469,69830.12
1873,A,United Kingdom United States,FREE,6,210,554,210,554,0.0
1873,A,United Kingdom..... United States,FREE,4,0,486,0,486,54.69
1873,A,United States,,6,531161,17830,530512,16355,4779.72
1873,A,United States,DUTIABLE,374,53702960,8695075,46906920,8221223,1478107.84
