volume,year,article_group,article,unit,row_seq,country,cell,printed_subtotal,ratio
as_1897,1895,"TELEGRAPHIC WIRES, AND APPARATUS",South Africa,,43556,Other Foreign Countries,3352.0,42.0,79.81
as_1889,1889,PLATE,RAGS (except Woollen) and other Materials for making Paper,Tons,3855,United States of America : Atlantic,440644.0,5597.0,78.73
as_1885,1885,WOOL,Sheep and Lambs' (British),,3348,France,173836.0,2237.0,77.71
as_1897,1896,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25957,Australasia : New South Wales,26655.0,344.0,77.49
as_1897,1895,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25906,British East Indies : Bombay,28145.0,364.0,77.32
as_1888,1888,PLATED and GILT WARES,RAGS (except Woollen) and other Materials for making Paper,Tons,3651,United States of America,454421.0,5898.0,77.05
as_1897,1896,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25972,Australasia : New Zealand,26262.0,344.0,76.34
as_1898,1894,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36861,Natal,1659.0,22.0,75.41
as_1890,1890,PLATE,RAGS (except Woollen) and other Materials for making Paper,Tons,3938,United States of America,399318.0,5340.0,74.78
as_1888,1888,PLATED and GILT WARES,RAGS (except Woollen) and other Materials for making Paper,Tons,3649,United States of America : Atlantic,434782.0,5898.0,73.72
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25979,Newfoundland,10613.0,145.0,73.19
as_1897,1895,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25971,Australasia : New Zealand,26157.0,364.0,71.86
as_1898,1897,ALKALI,,Cwts,59,Spain,108922.0,1550.0,70.27
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25919,British East Indies : British Burmah,10153.0,145.0,70.02
as_1897,1894,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25950,Australasia : Victoria,17221.0,247.0,69.72
as_1890,1890,PLATE,RAGS (except Woollen) and other Materials for making Paper,Tons,3936,United States of America : Atlantic,368316.0,5340.0,68.97
as_1874,1874,LEATHER,"Tanned, Unwrought",Cwt,1471,British India: Bombay and Scinde Madras,88612618.0,1319363.0,67.16
as_1897,1895,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25956,Australasia : New South Wales,24257.0,364.0,66.64
as_1899,1899,Woollen and Worsted Manufactures,,,51895,1896,81525103.0,1229492.0,66.31
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25944,Australasia : South Australia,9341.0,145.0,64.42
as_1897,1896,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25952,Australasia : Victoria,22131.0,344.0,64.33
as_1898,1898,Woollen and Worsted Manufactures,,,50919,"Worsted Coatings and Stuffs . . . . . "" """,44589500.0,693840.0,64.26
as_1899,1899,Woollen and Worsted Manufactures,,,51896,1895,78126746.0,1229492.0,63.54
as_1899,1899,Woollen and Worsted Manufactures,,,51894,1897,76943184.0,1229492.0,62.58
as_1879,1879,"COALS, CINDERS, &c.",Coals,,425,France,1298140.0,20800.0,62.41
as_1874,1874,"ARMS, AMMUNITION, and MILITARY STORES",Percussion Caps,,93,United States: Atlantic,19768.0,322.0,61.39
as_1899,1899,Woollen and Worsted Manufactures,,,51893,1898,74866455.0,1229492.0,60.89
as_1880,1880,COTTON MANUFACTURES,"Piece Goods, Plain",,738,Bengal and Burmah,8890803.0,149080.0,59.64
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25929,British East Indies : Ceylon,8350.0,145.0,57.59
as_1898,1895,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36862,Natal,3268.0,57.0,57.33
as_1897,1896,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25942,Australasia : West Australia,19355.0,344.0,56.26
as_1898,1898,CARRIAGES,"Railway Carriages for Passengers, and parts thereof",Railway Waggons,8469,West Africa : Cape of Good Hope,78306.0,1425.0,54.95
as_1898,1898,"BRASS, AND MANUFACTURES OF, not being Ordnance",West Africa,,6623,Cape of Good Hope,23993.0,437.0,54.9
as_1897,1895,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25951,Australasia : Victoria,19811.0,364.0,54.43
as_1885,1885,RAGS (except Woollen) and other Materials for making Paper,,Tons,2924,United States of America,414051.0,7616.0,54.37
as_1898,1896,ALKALI,,Cwts,63,Italy,66856.0,1248.0,53.57
as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25924,British East Indies : Straits Settlements,7731.0,145.0,53.32
as_1897,1896,ALKALI,,Cwts,64,Italy,66536.0,1248.0,53.31
as_1885,1885,RAGS (except Woollen) and other Materials for making Paper,,Tons,2922,United States of America : Atlantic,404869.0,7616.0,53.16
