commodity,year,t1_value,origin_value,v_ratio,v_bucket,t1_qty,origin_qty,q_ratio,q_bucket,unit,n_origins,split
Myrobalans,1898,127668,0,0.0,nodata,411070,0,0.0,nodata,Cwt,0,
Feathers — For Beds,1874,127653,0,0.0,nodata,21607,0,0.0,nodata,Cwt,0,
Beads — Of Glass,1873,127646,127646,1.0,exact01,2321494,2321494,1.0,exact01,Lb,4,
Straw,1900,127582,0,0.0,nodata,0,0,,noanchor,Lb,0,
"Unenumerated, Not Sweetened",1868,127381,0,0.0,nodata,1486635,0,0.0,nodata,Proof Gallon,0,
Feathers — For Beds,1881,127374,109235,0.8576,under,26636,21490,0.8068,under,Cwt,4,
Perfumed,1896,127354,124354,0.9764,within5,54318,54188,0.9976,within5,Gallon,8,
"Unenumerated, Not Sweetened",1878,127349,0,0.0,nodata,1687195,0,0.0,nodata,Proof Gallon,0,
Bark,1882,127186,127186,1.0,exact01,272145,271545,0.9978,within5,Cwt,5,
Bark,1898,127185,160254,1.26,over,338519,336897,0.9952,within5,Cwt,17,
"Bark, For Tanning",1898,127185,0,0.0,nodata,338519,0,0.0,nodata,Cwt,0,
Horse Hair,1870,127145,0,0.0,nodata,14134,0,0.0,nodata,Cwt,0,
Spices — Cinnamon,1878,127112,127112,1.0,exact01,1527403,1527403,1.0,exact01,Lb,2,
Asphalt Or Bitumen,1898,127022,108983,0.858,under,45667,45577,0.998,within5,Ton,7,
"Asphalt, Or Bitumen (Other Than Painters' Colours Or Drugs)",1898,127022,0,0.0,nodata,45667,0,0.0,nodata,Ton,0,
Wax,1882,126926,126926,1.0,exact01,35538,34638,0.9747,within5,Cwt,7,
"Perfumery, And Articles Used In The Manufacture Thereof",1894,126785,0,0.0,nodata,1643063,0,0.0,nodata,Lb,0,
"Perfumery, And Articles Used In The Manufacture Thereof, Except Perfumed Spirits",1894,126785,126785,1.0,exact01,1643063,1642163,0.9995,exact01,Lb,12,
"Sweetened Or Mixed, Tested",1895,126722,0,0.0,nodata,73526,0,0.0,nodata,Proof Gallon,0,
Wax,1886,126377,126377,1.0,exact01,30826,30826,1.0,exact01,Cwt,17,
Tares And Lentils,1871,126328,0,0.0,nodata,456066,0,0.0,nodata,Bushel,0,
Plumbago,1885,126279,126279,1.0,exact01,10635,10635,1.0,exact01,Ton,6,
Feathers — For Beds,1875,126177,126177,1.0,exact01,22437,22437,1.0,exact01,Cwt,5,
Shumach,1890,126074,0,0.0,nodata,11432,0,0.0,nodata,Ton,0,
Sumach,1890,126074,0,0.0,nodata,11432,0,0.0,nodata,Ton,0,
"Unenumerated, Not Sweetened",1872,126056,0,0.0,nodata,1307428,0,0.0,nodata,Proof Gallon,0,
Wood Pulp Board,1898,126025,0,0.0,nodata,257879,0,0.0,nodata,Cwt,0,
Mares,1894,125758,126047,1.0023,within5,5152,5158,1.0012,within5,Number,18,
"Animals, Living — Sheep And Lambs",1892,125659,125659,1.0,exact01,79048,79048,1.0,exact01,Number,6,
Waste Of (Raw And Yarn),1896,125478,170704,1.3604,over,19503049,28455854,1.459,over,Lb,14,
Waste Of,1896,125478,0,0.0,nodata,19503049,0,0.0,nodata,Lb,0,
Gold — Leaves Of,1898,124992,124992,1.0,exact01,63632700,63632700,1.0,exact01,Number,3,
"Manufactures Of Hair, And Of Goats' Wool",1888,124961,0,0.0,nodata,124961,0,0.0,nodata,Value,0,
Confectionery (Free And Dutiable),1894,124938,0,0.0,nodata,55500,0,0.0,nodata,Cwt,0,
Bark,1894,124904,165440,1.3245,over,320151,395851,1.2365,over,Cwt,15,
Brimstone,1893,124797,124797,1.0,exact01,515115,515115,1.0,exact01,Cwt,4,
Steel — Unwrought,1887,124647,0,0.0,nodata,14727,0,0.0,nodata,Ton,0,
Kowrie,1879,124636,247537,1.9861,over,50999,101438,1.989,over,Cwt,3,
Beads — Of Glass,1870,124183,0,0.0,nodata,2112081,0,0.0,nodata,Lb,0,
"Sweetened And Perfumed, Of All Kinds",1879,123804,0,0.0,nodata,103780,0,0.0,nodata,Gallon,0,
Of Other Sorts,1889,123610,0,0.0,nodata,123610,0,0.0,nodata,Cwt,0,
"Unenumerated, Not Sweetened",1890,123607,0,0.0,nodata,2929096,0,0.0,nodata,Proof Gallon,0,
Wax,1892,123505,123505,1.0,exact01,28197,28197,1.0,exact01,Cwt,17,
Wax,1893,123330,133931,1.086,over,34458,35455,1.0289,within5,Cwt,37,
Maize Or Indian Corn Meal,1896,123313,123313,1.0,exact01,368100,368100,1.0,exact01,Cwt,3,
Gold — Leaves Of,1895,123221,128381,1.0419,within5,66138410,66223410,1.0013,within5,Number,5,
Whalebone (Whalefins),1885,123163,122863,0.9976,within5,3801,3771,0.9921,within5,Cwt,11,
Spices — Ginger,1884,123100,123100,1.0,exact01,55358,55355,0.9999,exact01,Cwt,4,
Arabic,1872,123080,0,0.0,nodata,42837,0,0.0,nodata,Cwt,0,
Spices — Cinnamon,1876,123048,123018,0.9998,exact01,1339060,1339060,1.0,exact01,Lb,2,
"Sweetened And Perfumed, Of All Kinds",1873,122790,0,0.0,nodata,97884,0,0.0,nodata,Gallon,0,
Manufactures Of,1880,122522,0,0.0,nodata,915083,0,0.0,nodata,Lb,0,
Kowrie,1869,122176,0,0.0,nodata,45352,0,0.0,nodata,Cwt,0,
Spices — Unenumerated,1870,122065,0,0.0,nodata,5016332,0,0.0,nodata,Lb,0,
"For Other Purposes, Including Berlin Wool And Zephyr Yarn",1900,121971,0,0.0,nodata,741325,0,0.0,nodata,Lb,0,
Tar,1868,121839,0,0.0,nodata,145402,0,0.0,nodata,Barrel,0,
Bark,1893,121528,0,0.0,nodata,318617,0,0.0,nodata,Cwt,0,
Tares And Lentils,1870,121493,0,0.0,nodata,490115,0,0.0,nodata,Bushel,0,
Linen Yarn,1874,121410,121410,1.0,exact01,1875640,1880640,1.0027,within5,Lb,3,
Spices — Cinnamon,1881,121361,121361,1.0,exact01,1739365,1739365,1.0,exact01,Lb,2,
"Unenumerated, Not Sweetened",1885,121300,0,0.0,nodata,1679693,0,0.0,nodata,Proof Gallon,0,
Spices — Cinnamon,1877,121201,121201,1.0,exact01,1377029,1377029,1.0,exact01,Lb,2,
Wax,1891,121184,121184,1.0,exact01,30328,30278,0.9984,within5,Cwt,16,
"Meat — Salted Or Fresh, Not Otherwise Described",1888,121074,121074,1.0,exact01,56998,56998,1.0,exact01,Cwt,11,
Horse,1894,121069,135949,1.1229,over,19538,21827,1.1172,over,Cwt,23,
Tar,1881,120881,23896,0.1977,under,152337,32504,0.2134,under,Barrel,2,
Ore Of,1896,120803,11452,0.0948,under,2227,573,0.2573,under,Ton,5,
"Metals And Ores — Gold, Ore Of (Including The Value Of The Gold Contained In Auriferous Ores And Metals",1896,120803,0,0.0,nodata,2227,0,0.0,nodata,Ton,0,
"Old, Fit Only To Be Re-Manufactured",1896,120528,121077,1.0046,within5,4197,4207,1.0024,within5,Ton,22,
Isinglass,1884,120500,120500,1.0,exact01,8356,8356,1.0,exact01,Cwt,7,
Hats Or Bonnets — Of Felt,1883,120405,120405,1.0,exact01,699695,699655,0.9999,exact01,Number,6,
"Perfumery, And Articles Used In The Manufacture Thereof",1896,120082,0,0.0,nodata,1110561,0,0.0,nodata,Lb,0,
"Perfumery, And Articles Used In The Manufacture Thereof, Except Perfumed Spirits",1896,120082,129623,1.0795,over,1110561,1138393,1.0251,within5,Lb,19,
Confectionery (Free And Dutiable),1895,119989,0,0.0,nodata,52430,0,0.0,nodata,Cwt,0,
"Sweetened And Perfumed, Of All Kinds",1875,119961,0,0.0,nodata,100420,0,0.0,nodata,Gallon,0,
Wax,1887,119927,119927,1.0,exact01,26488,26488,1.0,exact01,Cwt,18,
Tin — Ore Of,1893,119890,119490,0.9967,within5,3040,3040,1.0,exact01,Ton,8,
Isinglass,1891,119756,119756,1.0,exact01,8856,8856,1.0,exact01,Cwt,8,
"Fish : Fresh, Herrings",1895,119564,0,0.0,nodata,767598,0,0.0,nodata,Cwt,0,
"Fresh, Herrings",1895,119564,0,0.0,nodata,767598,0,0.0,nodata,?,0,
"Lac, Seed, Shell, Stick, And Dye",1885,119511,852,0.0071,under,119511,239,0.002,under,Cwt,1,
Tares And Lentils,1884,119452,119452,1.0,exact01,634676,634676,1.0,exact01,Bushel,7,
"Meat, Salted Or Fresh",1868,119423,0,0.0,nodata,41359,0,0.0,nodata,Cwt,0,
Fresh (Not Of British Taking) — Herrings,1896,119390,119390,1.0,exact01,773591,770582,0.9961,within5,Cwt,4,
"Fish : Fresh, Herrings",1896,119390,0,0.0,nodata,773591,0,0.0,nodata,Cwt,0,
"Fresh, Herrings",1896,119390,0,0.0,nodata,773591,0,0.0,nodata,?,0,
Perfumed,1895,119367,118633,0.9939,within5,52305,52305,1.0,exact01,Gallon,8,
"Unenumerated, Not Sweetened",1883,119366,0,0.0,nodata,1261196,0,0.0,nodata,Proof Gallon,0,
Steel — Unwrought,1875,119224,0,0.0,nodata,7509,0,0.0,nodata,Ton,0,
Animal,1892,119140,0,0.0,nodata,65057,0,0.0,nodata,Cwt,0,
Galls,1885,118908,119008,1.0008,exact01,83268,83268,1.0,exact01,Cwt,7,
Plumbago,1870,118878,0,0.0,nodata,9852,0,0.0,nodata,Ton,0,
Feathers — For Beds,1870,118874,0,0.0,nodata,13062,0,0.0,nodata,Cwt,0,
Books,1870,118871,0,0.0,nodata,10850,0,0.0,nodata,Cwt,0,
"Meal, Unenumerated",1896,118838,0,0.0,nodata,536647,0,0.0,nodata,Cwt,0,
Mica And Tale,1899,118609,0,0.0,nodata,118609,0,0.0,nodata,Cwt,0,
Wax,1875,118549,97652,0.8237,under,25551,22490,0.8802,under,Cwt,8,
Isinglass,1878,118507,118507,1.0,exact01,6103,6103,1.0,exact01,Cwt,6,
Spices — Ginger (Raw),1874,118278,118278,1.0,exact01,38838,38638,0.9949,within5,Cwt,6,
"Perfumery, And Articles Used In The Manufacture Thereof",1897,118221,0,0.0,nodata,1097120,0,0.0,nodata,Lb,0,
"Perfumery, And Articles Used In The Manufacture Thereof, Except Perfumed Spirits",1897,118221,114279,0.9667,within5,1097120,1097120,1.0,exact01,Lb,16,
"Pickles And Vegetables, Preserved In Salt Or Vinegar",1892,118050,118050,1.0,exact01,1819667,1819667,1.0,exact01,Gallon,8,
Manures — Guano,1898,117924,153204,1.2992,over,23644,25040,1.059,over,Ton,14,
Animal,1900,117131,0,0.0,nodata,103892,0,0.0,nodata,Cwt,0,
Spices — Ginger (Raw),1878,117102,114102,0.9744,within5,52231,52231,1.0,exact01,Cwt,6,
Spices — Ginger,1878,117102,0,0.0,nodata,32231,0,0.0,nodata,Cwt,0,
Zinc — Ore Of,1897,116669,125247,1.0735,over,24841,25667,1.0333,within5,Ton,18,
Wax,1877,116603,116603,1.0,exact01,28134,28134,1.0,exact01,Cwt,7,
"Manufactures Of Hair, And Of Goats' Wool",1877,116510,0,0.0,nodata,116510,0,0.0,nodata,Value,0,
Gum : Kowrie,1882,116467,0,0.0,nodata,39621,0,0.0,nodata,Cwt,0,
"Fish : Fresh, Herrings",1894,116379,0,0.0,nodata,956327,0,0.0,nodata,Cwt,0,
"Fresh, Herrings",1894,116379,0,0.0,nodata,956327,0,0.0,nodata,?,0,
Brass And Bronze Manufactures,1893,116344,0,0.0,nodata,18639,0,0.0,nodata,Cwt,0,
"Hair — Cow, Ox, Bull, Or Elk",1882,116248,116248,1.0,exact01,96466,96466,1.0,exact01,Cwt,5,
Spices — Cinnamon,1873,116144,116144,1.0,exact01,1078753,1078753,1.0,exact01,Lb,2,
Moss Litter,1893,116098,116098,1.0,exact01,93426,93426,1.0,exact01,Ton,5,
"Pickles And Vegetables, Preserved In Salt Or Vinegar",1894,116076,115164,0.9921,within5,1979367,1976424,0.9985,within5,Gallon,7,
Spices — Ginger (Raw),1877,115722,115722,1.0,exact01,51964,51964,1.0,exact01,Cwt,7,
"Sweetened And Perfumed, Of All Kinds",1874,115527,0,0.0,nodata,90727,0,0.0,nodata,Gallon,0,
Feathers — For Beds,1889,115462,115462,1.0,exact01,32789,32789,1.0,exact01,Cwt,8,
Tar,1885,115071,114458,0.9947,within5,173164,171883,0.9926,within5,Barrel,8,
Tares And Lentils,1872,114940,114940,1.0,exact01,479100,479100,1.0,exact01,Bushel,3,
"Fish : Fresh, Herrings",1893,114934,0,0.0,nodata,724577,0,0.0,nodata,Cwt,0,
Alkali,1895,114586,114586,1.0,exact01,184114,184114,1.0,exact01,Cwt,7,
Kowrie,1877,114478,227986,1.9915,over,46747,93111,1.9918,over,Cwt,4,
Horse,1888,114457,114457,1.0,exact01,17620,17620,1.0,exact01,Cwt,12,
Sumach,1898,114418,0,0.0,nodata,11659,0,0.0,nodata,Ton,0,
Hats Or Bonnets — Of Felt,1885,114403,114412,1.0001,exact01,775790,775850,1.0001,exact01,Number,6,
Myrobalans,1897,114400,0,0.0,nodata,371909,0,0.0,nodata,Cwt,0,
Plumbago,1872,114373,114373,1.0,exact01,7881,7881,1.0,exact01,Ton,4,
Silk Manufactures — Of Countries Out Of Europe,1869,114354,0,0.0,nodata,114354,0,0.0,nodata,Value,0,
Moss Litter,1896,114196,114646,1.0039,within5,99229,99711,1.0049,within5,Ton,4,
"Feathers And Down, In Beds Or For Beds",1900,114119,0,0.0,nodata,40846,0,0.0,nodata,Cwt,0,
Steel — Unwrought,1868,114110,0,0.0,nodata,7654,0,0.0,nodata,Ton,0,
Hats Or Bonnets — Of Felt,1868,114051,0,0.0,nodata,380171,0,0.0,nodata,Number,0,
Alkali,1876,113615,113615,1.0,exact01,93045,93045,1.0,exact01,Cwt,7,
Bark,1896,113369,152931,1.349,over,309614,391535,1.2646,over,Cwt,15,
"Bark, For Tanning",1896,113369,0,0.0,nodata,309614,0,0.0,nodata,Cwt,0,
Steel — Unwrought,1870,113368,0,0.0,nodata,8070,0,0.0,nodata,Ton,0,
Steel — Unwrought,1885,113057,0,0.0,nodata,11208,0,0.0,nodata,Ton,0,
Yarn,1873,113026,0,0.0,nodata,2646524,0,0.0,nodata,Lb,0,
Wax,1890,112573,113173,1.0053,within5,35948,35918,0.9992,exact01,Cwt,19,
"Lac, Seed, Shell, Stick, And Dye",1884,112479,924714,8.2212,over,112479,224958,2.0,over,Cwt,7,
Perfumed,1894,112475,112475,1.0,exact01,49873,49870,0.9999,exact01,Gallon,8,
Straw,1875,112394,0,0.0,nodata,464651,0,0.0,nodata,Lb,0,
Plumbago,1884,112385,112385,1.0,exact01,8806,8806,1.0,exact01,Ton,4,
Steel — Unwrought,1886,112342,0,0.0,nodata,12082,0,0.0,nodata,Ton,0,
"Platina, Wrought Or Unwrought",1894,112174,112179,1.0,exact01,86844,86844,1.0,exact01,Oz Troy,5,
"Pickles And Vegetables, Preserved In Salt Or Vinegar",1893,112133,111487,0.9942,within5,1822216,1817166,0.9972,within5,Gallon,6,
"Bark, For Tanning",1900,112015,0,0.0,nodata,299415,0,0.0,nodata,Cwt,0,
"Meat — Salted Or Fresh, Not Otherwise Described",1883,111912,111912,1.0,exact01,36353,36353,1.0,exact01,Cwt,9,
Steel — Unwrought,1888,111843,0,0.0,nodata,12076,0,0.0,nodata,Ton,0,
Cotton-Seed Cake,1897,111822,0,0.0,nodata,111822,0,0.0,nodata,?,0,
Embroidery And Needlework,1883,111774,0,0.0,nodata,111774,0,0.0,nodata,Value,0,
"Pickles And Vegetables, Preserved In Salt Or Vinegar",1895,111526,112277,1.0067,within5,1757963,1795783,1.0215,within5,Gallon,7,
Tares And Lentils,1894,111502,176637,1.5842,over,576812,714268,1.2383,over,Bushel,26,
"Meat — Salted Or Fresh, Not Otherwise Described",1886,111468,111468,1.0,exact01,41528,41528,1.0,exact01,Cwt,9,
"Sweetened And Perfumed, Of All Kinds",1872,111421,0,0.0,nodata,89248,0,0.0,nodata,Gallon,0,
"Plums, Commonly Called French Plums, And Prunelloes",1900,111270,0,0.0,nodata,71118,0,0.0,nodata,?,0,
Animal,1877,111229,0,0.0,nodata,51726,0,0.0,nodata,Cwt,0,
Spices — Cinnamon,1879,111048,111048,1.0,exact01,1429519,1429519,1.0,exact01,Lb,2,
Beads — Of Glass,1871,110997,0,0.0,nodata,2095610,0,0.0,nodata,Lb,0,
Spices — Cinnamon,1872,110993,110993,1.0,exact01,1072080,1072080,1.0,exact01,Lb,3,
Hats Or Bonnets — Of Straw,1894,110898,112002,1.01,within5,688384,696804,1.0122,within5,Lb,8,
Straw,1894,110898,151002,1.3616,over,683384,0,0.0,nodata,Lb,8,
Isinglass,1897,110880,167424,1.51,over,8118,14057,1.7316,over,Cwt,16,
Isinglass,1881,110595,110595,1.0,exact01,7273,7273,1.0,exact01,Cwt,7,
Of Other Sorts,1888,110594,0,0.0,nodata,110594,0,0.0,nodata,Cwt,0,
Steel — Unwrought,1872,110545,0,0.0,nodata,7545,0,0.0,nodata,Ton,0,
Sumach,1889,110517,0,0.0,nodata,12514,0,0.0,nodata,Ton,0,
Horns And Hoofs Of Cattle,1871,110466,0,0.0,nodata,5700,0,0.0,nodata,Ton,0,
Tar,1878,110457,110457,1.0,exact01,148582,148582,1.0,exact01,Barrel,3,
Boots And Shoes,1868,110160,0,0.0,nodata,0,0,,noanchor,Dozen Pairs,0,
Tares And Lentils,1893,110068,135785,1.2336,over,599981,752456,1.2541,over,Bushel,12,
"Unenumerated, Not Sweetened",1873,110015,0,0.0,nodata,1260050,0,0.0,nodata,Proof Gallon,0,
"Sweetened Or Mixed, Tested",1893,109964,0,0.0,nodata,68615,0,0.0,nodata,Proof Gallon,0,
"Hair — Cow, Ox, Bull, Or Elk",1890,109749,146345,1.3335,over,109749,109904,1.0014,within5,Cwt,12,
Isinglass,1882,109715,109715,1.0,exact01,6377,6377,1.0,exact01,Cwt,5,
Fruit — Figs,1868,109684,0,0.0,nodata,79637,0,0.0,nodata,Cwt,0,
"Of Other Materials, Trimmed Or Untrimmed",1900,109597,0,0.0,nodata,129926,0,0.0,nodata,Number,0,
Spices — Ginger (Raw),1880,109545,109545,1.0,exact01,49962,49961,1.0,exact01,Cwt,6,
Spices — Ginger,1880,109545,0,0.0,nodata,49962,0,0.0,nodata,Cwt,0,
Bark — Peruvian,1869,109420,0,0.0,nodata,11232,0,0.0,nodata,Cwt,0,
Yarn,1869,109050,0,0.0,nodata,623332,0,0.0,nodata,Lb,0,
Brimstone,1900,109048,0,0.0,nodata,450661,0,0.0,nodata,Cwt,0,
Feathers — For Beds,1876,109045,109045,1.0,exact01,21551,21551,1.0,exact01,Cwt,5,
Feathers — For Beds,1877,109011,102820,0.9432,under,22876,20912,0.9141,under,Cwt,5,
Alkali,1897,109002,110100,1.0101,within5,227394,227394,1.0,exact01,Cwt,10,
Galls,1883,108945,108945,1.0,exact01,39552,39552,1.0,exact01,Cwt,8,
Wax,1889,108857,108857,1.0,exact01,32777,32777,1.0,exact01,Cwt,18,
"Lac, Seed, Shell, Stick, And Dye",1899,108758,882662,8.1158,over,108758,266876,2.4539,over,Cwt,18,
Bark,1897,108707,139998,1.2878,over,313985,390302,1.2431,over,Cwt,15,
"Bark, For Tanning",1897,108707,0,0.0,nodata,313985,0,0.0,nodata,Cwt,0,
"Old, Fit Only To Be Re-Manufactured",1897,108694,110525,1.0168,within5,3282,3248,0.9896,within5,Ton,22,
"Meat — Salted Or Fresh, Not Otherwise Described",1887,108387,108387,1.0,exact01,43680,43680,1.0,exact01,Cwt,11,
Beads Of All Sorts,1882,108277,138756,1.2815,over,2221952,2973775,1.3384,over,Lb,7,
"Manufactures Of Hair, And Of Goats' Wool",1880,107902,0,0.0,nodata,107902,0,0.0,nodata,Value,0,
"Meat, Salted Or Fresh",1871,107814,0,0.0,nodata,42340,0,0.0,nodata,Cwt,0,
Feathers — For Beds,1880,107554,107524,0.9997,exact01,22639,22619,0.9991,exact01,Cwt,5,
"Lac, Seed, Shell, Stick, And Dye",1886,107261,608707,5.675,over,107261,213509,1.9906,over,Cwt,10,
"Plate, Fluted, Rolled Or Rough",1899,107229,107229,1.0,exact01,112900,112900,1.0,exact01,Cwt,5,
Of Other Sorts,1897,106936,0,0.0,nodata,44639,0,0.0,nodata,Cwt,0,
Tares And Lentils,1885,106881,106881,1.0,exact01,581538,581538,1.0,exact01,Bushel,8,
Brass And Bronze Manufactures,1892,106836,0,0.0,nodata,14993,0,0.0,nodata,Cwt,0,
Tar,1899,106773,0,0.0,nodata,131049,0,0.0,nodata,Barrel,0,
Plumbago,1875,106627,106627,1.0,exact01,7088,7088,1.0,exact01,Ton,4,
Safflower,1869,106597,0,0.0,nodata,9544,0,0.0,nodata,Cwt,0,
"Drugs — Bark, Peruvian",1894,106527,181945,1.708,over,58352,102821,1.7621,over,Cwt,14,
Bark — Peruvian,1894,106527,0,0.0,nodata,58352,0,0.0,nodata,Cwt,0,
Embroidery And Needlework,1876,106483,0,0.0,nodata,106483,0,0.0,nodata,Value,0,
Feathers And Down — For Beds,1899,106245,0,0.0,nodata,38228,0,0.0,nodata,Cwt,0,
"Feathers And Down, In Beds Or For Beds",1899,106245,0,0.0,nodata,38228,0,0.0,nodata,Cwt,0,
Plumbago,1880,106057,106057,1.0,exact01,7803,7803,1.0,exact01,Ton,4,
Wax,1884,105813,102933,0.9728,within5,28258,27777,0.983,within5,Cwt,16,
Cherries — Raw,1896,105811,105811,1.0,exact01,219367,219367,1.0,exact01,Bushel,4,
Cherries,1896,105811,0,0.0,nodata,219367,0,0.0,nodata,Bushel,0,
Isinglass,1896,105610,174248,1.6499,over,8488,13233,1.559,over,Cwt,17,
Feathers — For Beds,1888,105526,105526,1.0,exact01,31610,31610,1.0,exact01,Cwt,8,
Beads — Of Glass,1872,105488,105488,1.0,exact01,2093503,2093503,1.0,exact01,Lb,4,
Galls,1888,105188,105188,1.0,exact01,36914,36944,1.0008,exact01,Cwt,9,
Of Other Sorts,1885,104889,0,0.0,nodata,101889,0,0.0,nodata,Cwt,0,
Confectionery,1894,104775,104775,1.0,exact01,53106,53101,0.9999,exact01,Cwt,9,
"Varnished, Japanned Or Enamelled",1895,104674,209348,2.0,over,4210,3110,0.7387,under,Cwt,10,
"Manufactures Of Hair, And Of Goats' Wool",1884,104601,0,0.0,nodata,104601,0,0.0,nodata,Value,0,
Isinglass,1883,104548,101548,0.9713,within5,6146,6116,0.9951,within5,Cwt,11,
"Meat, Salted Or Fresh",1870,104447,0,0.0,nodata,36745,0,0.0,nodata,Cwt,0,
Yarn,1870,104397,0,0.0,nodata,746953,0,0.0,nodata,Lb,0,
Manures — Guano,1896,104354,136869,1.3116,over,20214,24097,1.1921,over,Ton,17,
Galls,1890,104202,104202,1.0,exact01,39605,39605,1.0,exact01,Cwt,9,
Beads Of All Sorts,1899,104116,104120,1.0,exact01,2917941,2917926,1.0,exact01,Lb,8,
"Hair — Cow, Ox, Bull, Or Elk",1892,104069,104069,1.0,exact01,79604,79604,1.0,exact01,Cwt,11,
"Wool — Other Kinds, And Flocks",1898,103880,103015,0.9917,within5,1537995,1427705,0.9283,under,Lb,6,
Alkali,1894,103824,103824,1.0,exact01,155641,155641,1.0,exact01,Cwt,7,
"Wool — Other Kinds, And Flocks",1893,103816,101096,0.9738,within5,1986986,1868792,0.9405,under,Lb,7,
Asphalt Or Bitumen,1897,103816,103777,0.9996,exact01,43840,41980,0.9576,within5,Ton,7,
"Asphalt, Or Bitumen (Other Than Painters' Colours Or Drugs)",1897,103816,0,0.0,nodata,43840,0,0.0,nodata,Ton,0,
Feathers — For Beds,1890,103547,108497,1.0478,within5,30411,30411,1.0,exact01,Cwt,8,
Of Other Sorts,1896,103488,0,0.0,nodata,170411,0,0.0,nodata,Cwt,0,
"Cow, Ox, Bull, Or Elk",1880,103482,0,0.0,nodata,85122,0,0.0,nodata,?,0,
Plumbago,1876,103443,103443,1.0,exact01,6465,6465,1.0,exact01,Ton,4,
Hats Or Bonnets — Of Felt,1869,103418,0,0.0,nodata,314721,0,0.0,nodata,Number,0,
Spices — Cinnamon,1882,103281,97240,0.9415,under,1838039,1644861,0.8949,under,Lb,2,
Perfumed,1893,103227,103227,1.0,exact01,48588,48588,1.0,exact01,Gallon,8,
Alkali,1877,103021,103021,1.0,exact01,90207,90207,1.0,exact01,Cwt,5,
Manures — Unenumerated,1888,102957,152505,1.4812,over,102957,0,0.0,nodata,?,11,
Feathers — For Beds,1885,102817,102814,1.0,exact01,29059,29059,1.0,exact01,Cwt,11,
Madder — Root,1875,102760,102760,1.0,exact01,63981,63981,1.0,exact01,Cwt,4,
Brimstone,1894,102628,102628,1.0,exact01,467925,467925,1.0,exact01,Cwt,2,
Horse Hair,1868,102509,0,0.0,nodata,16056,0,0.0,nodata,Cwt,0,
"Seeds — Unenumerated, For Expressing Oil Therefrom",1872,102417,64683,0.6316,under,36217,20967,0.5789,under,Quarter,2,
"Manganese, Ore Of",1882,102267,102267,1.0,exact01,29766,29766,1.0,exact01,Ton,8,
Brimstone,1897,102209,111209,1.0881,over,449028,419028,0.9332,under,Cwt,4,
Of Other Sorts,1887,101835,0,0.0,nodata,101835,0,0.0,nodata,Cwt,0,
Yarn,1871,101788,0,0.0,nodata,3197053,0,0.0,nodata,Lb,0,
Sugar — Molasses,1887,101778,101778,1.0,exact01,305475,305475,1.0,exact01,Cwt,7,
Feathers — For Beds,1886,101639,101639,1.0,exact01,30348,30348,1.0,exact01,Cwt,9,
Brimstone,1899,101615,101615,1.0,exact01,431218,431218,1.0,exact01,Cwt,3,
Tares And Lentils,1895,101614,235006,2.3127,over,623690,849297,1.3617,over,Bushel,37,
Embroidery And Needlework,1868,101609,0,0.0,nodata,101608,0,0.0,nodata,Value,0,
Confectionery,1895,101606,101606,1.0,exact01,50526,50526,1.0,exact01,Cwt,9,
Kowrie,1868,101601,0,0.0,nodata,45904,0,0.0,nodata,Cwt,0,
"Garden, Unenumerated",1893,101523,99300,0.9781,within5,3664601,3519595,0.9604,within5,Lb,8,
Garden,1893,101523,0,0.0,nodata,3664601,0,0.0,nodata,Lb,0,
Isinglass,1877,101484,101484,1.0,exact01,5386,5386,1.0,exact01,Cwt,6,
Ginger — Raw,1868,101456,0,0.0,nodata,52194,0,0.0,nodata,Cwt,0,
Plumbago,1888,101391,101391,1.0,exact01,8705,8705,1.0,exact01,Ton,7,
Isinglass,1887,101033,101033,1.0,exact01,7023,7023,1.0,exact01,Cwt,8,
"Varnished, Japanned Or Enamelled",1893,100948,451011,4.4678,over,3993,112046,28.0606,over,Cwt,24,
"Old, Fit Only To Be Re-Manufactured",1894,100722,101580,1.0085,within5,3245,3253,1.0025,within5,Ton,21,
"Hair — Cow, Ox, Bull, Or Elk",1893,100480,104866,1.0437,within5,73058,74193,1.0155,within5,Cwt,18,
"Cow, Ox, Bull, Or Elk",1893,100480,0,0.0,nodata,73058,0,0.0,nodata,?,0,
Cows,1899,100415,99215,0.988,within5,5879,5879,1.0,exact01,Number,4,
Of Other Sorts,1890,100332,0,0.0,nodata,106332,0,0.0,nodata,Cwt,0,
Spices — Ginger,1883,100314,99984,0.9967,within5,38112,38112,1.0,exact01,Cwt,9,
Kowrie,1878,100276,199132,1.9858,over,41264,81948,1.9859,over,Cwt,3,
"Sweetened And Perfumed, Of All Kinds",1871,100219,0,0.0,nodata,71544,0,0.0,nodata,Gallon,0,
"Unenumerated, Not Sweetened",1882,100008,0,0.0,nodata,1235049,0,0.0,nodata,Proof Gallon,0,
Animal,1894,99905,0,0.0,nodata,54608,0,0.0,nodata,Cwt,0,
Plumbago,1886,99901,99901,1.0,exact01,8484,8484,1.0,exact01,Ton,5,
"Hair — Cow, Ox, Bull, Or Elk",1897,99855,105350,1.055,over,74247,75642,1.0188,within5,Cwt,19,
"Cow, Ox, Bull, Or Elk",1897,99855,0,0.0,nodata,74247,0,0.0,nodata,?,0,
