flow,volume,year,group,article,seq_from,seq_to,to_group,to_article,to_unit,rows,value,canada,primary,method,reference,from_block
export_uk,as_1897,1893,WOOLLEN AND WORSTED MANUFACTURES,South Africa,46089,46251,WOOLLEN AND WORSTED MANUFACTURES,"Light, Narrow, all Wool",Yards,33,214065,17213,0,gapx3,as_1892,"WOOLLEN AND WORSTED MANUFACTURES/Woollen Tissues, Light, Broad, mixed with other Materials"
export_uk,as_1897,1893,WOOLLEN AND WORSTED MANUFACTURES,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",47360,47440,WOOLLEN AND WORSTED MANUFACTURES,Stuffs,Yards,17,1179694,0,0,continuationx2-1,as_1888,"WOOLLEN AND WORSTED MANUFACTURES/Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool"
export_uk,as_1897,1893,WOOLLEN AND WORSTED MANUFACTURES,Possessions in Indian Seas,47445,47550,WOOLLEN AND WORSTED MANUFACTURES,Stuffs,Yards,22,1358581,0,0,continuationx2-1,as_1888,"WOOLLEN AND WORSTED MANUFACTURES/Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool"
export_uk,as_1897,1893,WOOLLEN AND WORSTED MANUFACTURES,Shawls,48433,48583,WOOLLEN AND WORSTED MANUFACTURES,"Rugs, Coverlets, or Wrappers",Number,31,344313,6318,0,gapx5,as_1896,WOOLLEN AND WORSTED MANUFACTURES/Shawls
export_uk,as_1897,1893,WOOLLEN AND WORSTED MANUFACTURES,Shawls,48588,48708,WOOLLEN AND WORSTED MANUFACTURES,Hosiery,Number,25,281224,0,0,gapx5,as_1896,WOOLLEN AND WORSTED MANUFACTURES/Shawls
export_uk,as_1897,1893,WOOLLEN AND WORSTED MANUFACTURES,South Africa,48713,48833,WOOLLEN AND WORSTED MANUFACTURES,Hosiery,Number,25,442457,157701,0,gapx5,as_1896,WOOLLEN AND WORSTED MANUFACTURES/Shawls
export_uk,as_1897,1894,"ANIMALS, Living","Bulls, Oxen, Cows, and Calves",944,1064,"ANIMALS, Living",Sheep and Lambs,Number,24,38010,1035,0,gapx5,as_1892,"ANIMALS, Living/Bulls, Oxen, Cows, and Calves"
export_uk,as_1897,1894,"ARMS, AMMUNITION, &c.",South Africa,3673,3712,"ARMS, AMMUNITION, and MILITARY STORES",Revolvers,Number,8,1671,0,0,gapx3,as_1892,"ARMS, AMMUNITION, AND MILITARY STORES/Muskets, Rifles, and Fowling-pieces"
export_uk,as_1897,1894,"BAGS AND SACKS, EMPTY",West Africa,4752,4872,BEER AND ALE,,Doz,25,191973,0,0,gapx4,as_1896,"BAGS AND SACKS, EMPTY/"
export_uk,as_1897,1894,"BAGS AND SACKS, EMPTY",Possessions in Indian Seas,4877,5036,BEER AND ALE,,Doz,33,418392,0,0,gapx4,as_1896,"BAGS AND SACKS, EMPTY/"
